fold_id,test_year,endpoint_id,endpoint_label,variant_id,class,selected_rounds,N,events,prevalence,AUROC,AUPRC,Brier,calibration_intercept,calibration_slope
TEST_2022,2022,discharge_3cat_final,Disposition,FULL_REFERENCE,Home/home health,703,152944,97480,0.637357464169892,0.868355630731888,0.915628544937003,0.138436054672968,0.021409731002234,1.00339487829499
TEST_2022,2022,discharge_3cat_final,Disposition,FULL_REFERENCE,Post-acute facility,703,152944,36366,0.23777330264672,0.782332225283069,0.494359047996163,0.148862340677588,-0.0272790075624231,0.980225177162294
TEST_2022,2022,discharge_3cat_final,Disposition,FULL_REFERENCE,Death/hospice,703,152944,19098,0.124869233183387,0.941612025520904,0.780473106254122,0.0524585265300475,0.0204995518740925,1.01374451542065
TEST_2022,2022,discharge_3cat_final,Disposition,NO_RESP_ASSISTANCE,Home/home health,699,152944,97480,0.637357464169892,0.868335819780198,0.915607816382609,0.13844433538404,0.0207797301141646,1.00353370455723
TEST_2022,2022,discharge_3cat_final,Disposition,NO_RESP_ASSISTANCE,Post-acute facility,699,152944,36366,0.23777330264672,0.782316240051115,0.494652680333368,0.148849419354436,-0.0269439108013474,0.980736978058485
TEST_2022,2022,discharge_3cat_final,Disposition,NO_RESP_ASSISTANCE,Death/hospice,699,152944,19098,0.124869233183387,0.941612741821082,0.780417803406873,0.0524731155841883,0.0211936831720138,1.01495870709182
TEST_2022,2022,discharge_3cat_final,Disposition,NO_RESP_SUPPORT,Home/home health,754,152944,97480,0.637357464169892,0.867862193388344,0.915272232516199,0.138665920689576,0.0230250252258271,1.00052558086843
TEST_2022,2022,discharge_3cat_final,Disposition,NO_RESP_SUPPORT,Post-acute facility,754,152944,36366,0.23777330264672,0.7816552640723,0.493670959421717,0.149009431150186,-0.0290987512297124,0.978486504689641
TEST_2022,2022,discharge_3cat_final,Disposition,NO_RESP_SUPPORT,Death/hospice,754,152944,19098,0.124869233183387,0.94105567231757,0.778909131090352,0.052670357817716,0.0213741812575213,1.01054690068917
TEST_2022,2022,discharge_3cat_final,Disposition,NO_GCS_AIRWAY_QUALIFIERS,Home/home health,731,152944,97480,0.637357464169892,0.868287881422018,0.915657807863508,0.138499586282101,0.0217063310145166,1.00095945089943
TEST_2022,2022,discharge_3cat_final,Disposition,NO_GCS_AIRWAY_QUALIFIERS,Post-acute facility,731,152944,36366,0.23777330264672,0.782026348179801,0.493897141205181,0.148940469716237,-0.0277839087568366,0.977902402268522
TEST_2022,2022,discharge_3cat_final,Disposition,NO_GCS_AIRWAY_QUALIFIERS,Death/hospice,731,152944,19098,0.124869233183387,0.941329119812361,0.778162075566883,0.0527438557974376,0.0210798545068386,1.01242984304113
TEST_2022,2022,discharge_3cat_final,Disposition,NO_AIRWAY_PROXY_SET,Home/home health,752,152944,97480,0.637357464169892,0.867698947265997,0.915220939213891,0.138786057615732,0.023761528906015,1.00031275457853
TEST_2022,2022,discharge_3cat_final,Disposition,NO_AIRWAY_PROXY_SET,Post-acute facility,752,152944,36366,0.23777330264672,0.781362481985001,0.493492483308861,0.149071310820356,-0.0294161499165354,0.978604927775223
TEST_2022,2022,discharge_3cat_final,Disposition,NO_AIRWAY_PROXY_SET,Death/hospice,752,152944,19098,0.124869233183387,0.94069459678244,0.776810709566345,0.0529215131455494,0.0202091994814843,1.01056996459938
TEST_2022,2022,discharge_3cat_final,Disposition,NO_HELMET,Home/home health,694,152944,97480,0.637357464169892,0.86808739399165,0.915426161631323,0.138545695716942,0.0201752908229285,1.0023319169845
TEST_2022,2022,discharge_3cat_final,Disposition,NO_HELMET,Post-acute facility,694,152944,36366,0.23777330264672,0.781969271072678,0.494191773116501,0.148934861290985,-0.0262739407091933,0.980076994196281
TEST_2022,2022,discharge_3cat_final,Disposition,NO_HELMET,Death/hospice,694,152944,19098,0.124869233183387,0.941473095561139,0.780377988871524,0.0524591242606844,0.0209316890095949,1.01398346261265
TEST_2022,2022,discharge_3cat_final,Disposition,NO_MECHANISM_HELMET,Home/home health,677,152944,97480,0.637357464169892,0.866477854992101,0.913938157130698,0.139265013356862,0.0184286324786262,1.00087295845928
TEST_2022,2022,discharge_3cat_final,Disposition,NO_MECHANISM_HELMET,Post-acute facility,677,152944,36366,0.23777330264672,0.779492860634374,0.491468931406934,0.149477922216802,-0.0255850059124757,0.978526074485798
TEST_2022,2022,discharge_3cat_final,Disposition,NO_MECHANISM_HELMET,Death/hospice,677,152944,19098,0.124869233183387,0.940353958883575,0.776148412300174,0.0529519442885953,0.0234336353087456,1.01358602471015
TEST_2022,2022,discharge_3cat_final,Disposition,NO_NONCRANIAL_INJURY_PHENOTYPES,Home/home health,690,152944,97480,0.637357464169892,0.851129458588213,0.899554089499344,0.145803639986371,0.0110398521666075,0.995912450576713
TEST_2022,2022,discharge_3cat_final,Disposition,NO_NONCRANIAL_INJURY_PHENOTYPES,Post-acute facility,690,152944,36366,0.23777330264672,0.755924431150888,0.457671495842543,0.154854143449376,-0.0183027354489348,0.968502655604986
TEST_2022,2022,discharge_3cat_final,Disposition,NO_NONCRANIAL_INJURY_PHENOTYPES,Death/hospice,690,152944,19098,0.124869233183387,0.939864621997161,0.778278355382067,0.0526881935542146,0.0230685965135822,1.01036333396833
TEST_2022,2022,discharge_3cat_final,Disposition,NO_PMHX,Home/home health,607,152944,97480,0.637357464169892,0.862066425261609,0.911205198131909,0.141294743253356,0.016857777355491,0.997118819624902
TEST_2022,2022,discharge_3cat_final,Disposition,NO_PMHX,Post-acute facility,607,152944,36366,0.23777330264672,0.773885466929458,0.484620181382737,0.150854063921431,-0.0261082577762365,0.96885852226778
TEST_2022,2022,discharge_3cat_final,Disposition,NO_PMHX,Death/hospice,607,152944,19098,0.124869233183387,0.937220697993344,0.77340446737452,0.053356125041168,0.028887219383938,1.01041633296457
TEST_2022,2022,discharge_3cat_final,Disposition,CORE_NEURO,Home/home health,418,152944,97480,0.637357464169892,0.839590336123418,0.890456789481547,0.150707090646004,0.01203004118558,0.991307390471858
