fold_id,test_year,endpoint_id,endpoint_label,variant_id,n_predictors_raw,n_encoded_features_train,n_encoded_features_final,selected_rounds,tune_score
TEST_2022,2022,discharge_3cat_final,Disposition,FULL_REFERENCE,48,72,73,703,0.554803252838801
TEST_2022,2022,discharge_3cat_final,Disposition,NO_RESP_ASSISTANCE,47,68,69,699,0.554882096152727
TEST_2022,2022,discharge_3cat_final,Disposition,NO_RESP_SUPPORT,46,63,64,754,0.556126064868237
TEST_2022,2022,discharge_3cat_final,Disposition,NO_GCS_AIRWAY_QUALIFIERS,46,70,71,731,0.555554327858026
TEST_2022,2022,discharge_3cat_final,Disposition,NO_AIRWAY_PROXY_SET,44,61,62,752,0.556991523297862
TEST_2022,2022,discharge_3cat_final,Disposition,NO_HELMET,47,67,68,694,0.555049576404487
TEST_2022,2022,discharge_3cat_final,Disposition,NO_MECHANISM_HELMET,46,60,61,677,0.559096351606939
TEST_2022,2022,discharge_3cat_final,Disposition,NO_NONCRANIAL_INJURY_PHENOTYPES,42,66,67,690,0.576891321666018
TEST_2022,2022,discharge_3cat_final,Disposition,NO_PMHX,36,60,61,607,0.562577190135908
TEST_2022,2022,discharge_3cat_final,Disposition,CORE_NEURO,24,31,32,418,0.593477736780597
TEST_2022,2022,discharge_3cat_final,Disposition,CORE_NEURO_PLUS_RESP,26,40,41,436,0.591015379881757
TEST_2022,2022,icu_trajectory_final,ICU trajectory,FULL_REFERENCE,48,72,73,792,0.672925930145901
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_ASSISTANCE,47,68,69,731,0.673059802579934
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_SUPPORT,46,63,64,738,0.675676528273134
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_GCS_AIRWAY_QUALIFIERS,46,70,71,734,0.673212960612389
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_AIRWAY_PROXY_SET,44,61,62,701,0.676177260243302
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_HELMET,47,67,68,727,0.672698377716872
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_MECHANISM_HELMET,46,60,61,737,0.674533342046668
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,42,66,67,734,0.691838466790101
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_PMHX,36,60,61,738,0.676748069968606
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO,24,31,32,523,0.70548012302855
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO_PLUS_RESP,26,40,41,513,0.701020177936873
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,FULL_REFERENCE,48,72,73,736,0.358206061375604
