endpoint_id,variant_id,endpoint_label,n_folds,median_delta_AUROC,median_delta_macro_AUROC,worst_delta_AUROC,worst_delta_macro_AUROC,median_delta_Brier,median_delta_multiclass_Brier,median_delta_log_loss,median_delta_multiclass_log_loss,class_worst_delta_AUROC,class_worst_delta_AUPRC,class_worst_delta_Brier,representative_delta_AUROC,representative_worst_delta_AUROC,class_worst_delta_AUROC_effective,review_flag,rule_note,absolute_performance_note
craniotomy_craniectomy_final,CORE_NEURO,Craniotomy/craniectomy,3,-0.00874999146263311,,-0.00891030000721449,Inf,0.000514027435899435,,0.00303157596510009,,,,,-0.00874999146263311,Inf,Inf,PREDICTIVE INFORMATION LIKELY LOST,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
craniotomy_craniectomy_final,CORE_NEURO_PLUS_RESP,Craniotomy/craniectomy,3,-0.0085084630569483,,-0.00863323779100678,Inf,0.000485899794931327,,0.00288227457069148,,,,,-0.0085084630569483,Inf,Inf,PREDICTIVE INFORMATION LIKELY LOST,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
craniotomy_craniectomy_final,NO_AIRWAY_PROXY_SET,Craniotomy/craniectomy,3,-0.000114024159361792,,-0.000291288185378269,Inf,2.40854457871087e-07,,-9.39354499934764e-06,,,,,-0.000114024159361792,Inf,Inf,PERFORMANCE-NEUTRAL CANDIDATE FOR SIMPLIFICATION,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
craniotomy_craniectomy_final,NO_GCS_AIRWAY_QUALIFIERS,Craniotomy/craniectomy,3,-9.0052331446322e-05,,-0.000129999554375648,Inf,4.04671320604344e-06,,1.88146129769529e-05,,,,,-9.0052331446322e-05,Inf,Inf,PERFORMANCE-NEUTRAL CANDIDATE FOR SIMPLIFICATION,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
craniotomy_craniectomy_final,NO_HELMET,Craniotomy/craniectomy,3,6.80846340559427e-05,,1.45908347348733e-06,Inf,-7.71245802445864e-06,,-5.00516686356145e-05,,,,,6.80846340559427e-05,Inf,Inf,PERFORMANCE-NEUTRAL CANDIDATE FOR SIMPLIFICATION,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
craniotomy_craniectomy_final,NO_MECHANISM_HELMET,Craniotomy/craniectomy,3,-0.00351704368563333,,-0.00371423635092472,Inf,0.000239188895126946,,0.0013090524237109,,,,,-0.00351704368563333,Inf,Inf,MIXED - REVIEW TEMPORAL PATTERN,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
craniotomy_craniectomy_final,NO_NONCRANIAL_INJURY_PHENOTYPES,Craniotomy/craniectomy,3,-0.00113121982062381,,-0.00127349288604173,Inf,5.68244696825745e-05,,0.000328748919748212,,,,,-0.00113121982062381,Inf,Inf,PERFORMANCE-NEUTRAL CANDIDATE FOR SIMPLIFICATION,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
craniotomy_craniectomy_final,NO_PMHX,Craniotomy/craniectomy,3,-0.00132585989931322,,-0.00142704520168524,Inf,6.40463515125742e-05,,0.000425304814886424,,,,,-0.00132585989931322,Inf,Inf,PERFORMANCE-NEUTRAL CANDIDATE FOR SIMPLIFICATION,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
craniotomy_craniectomy_final,NO_RESP_ASSISTANCE,Craniotomy/craniectomy,3,9.22912577350221e-05,,-4.30195205203265e-05,Inf,-1.06154239333175e-05,,-4.57922083577644e-05,,,,,9.22912577350221e-05,Inf,Inf,PERFORMANCE-NEUTRAL CANDIDATE FOR SIMPLIFICATION,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
craniotomy_craniectomy_final,NO_RESP_SUPPORT,Craniotomy/craniectomy,3,-3.2139279224741e-05,,-0.000151174970938306,Inf,-2.58242890166238e-05,,-5.36550390715929e-05,,,,,-3.2139279224741e-05,Inf,Inf,PERFORMANCE-NEUTRAL CANDIDATE FOR SIMPLIFICATION,Heuristic triage only; not a statistical feature-selection rule.,"Inspect AUROC, AUPRC, Brier/log loss, calibration, and year-to-year consistency before revising the model."
